,Date,Open,High,Low,Close*,Adj Close**,Volume
99,"May 10, 2019",1163.59,1172.6,1142.5,1164.27,1164.27,1314500.0
98,"May 13, 2019",1141.96,1147.94,1122.11,1132.03,1132.03,1860600.0
97,"May 14, 2019",1137.21,1140.42,1119.55,1120.44,1120.44,1836600.0
96,"May 15, 2019",1117.87,1171.33,1116.67,1164.21,1164.21,2289300.0
95,"May 16, 2019",1164.51,1188.16,1162.84,1178.98,1178.98,1531400.0
94,"May 17, 2019",1168.47,1180.15,1160.01,1162.3,1162.3,1208600.0
93,"May 20, 2019",1144.5,1146.8,1131.44,1138.85,1138.85,1353300.0
92,"May 21, 2019",1148.49,1152.71,1137.94,1149.63,1149.63,1159800.0
91,"May 22, 2019",1146.75,1158.52,1145.89,1151.42,1151.42,914500.0
90,"May 23, 2019",1140.5,1145.97,1129.22,1140.77,1140.77,1198900.0
89,"May 24, 2019",1147.36,1149.77,1131.66,1133.47,1133.47,1112000.0
88,"May 28, 2019",1134.0,1151.59,1133.12,1134.15,1134.15,1365000.0
87,"May 29, 2019",1127.52,1129.1,1108.22,1116.46,1116.46,1538200.0
86,"May 30, 2019",1115.54,1123.13,1112.12,1117.95,1117.95,951900.0
85,"May 31, 2019",1101.29,1109.6,1100.18,1103.63,1103.63,1507800.0
84,"Jun 03, 2019",1065.5,1065.5,1025.0,1036.23,1036.23,5130600.0
83,"Jun 04, 2019",1042.9,1056.05,1033.69,1053.05,1053.05,2833500.0
82,"Jun 05, 2019",1051.54,1053.55,1030.49,1042.22,1042.22,2168400.0
81,"Jun 06, 2019",1044.99,1047.49,1033.7,1044.34,1044.34,1703200.0
80,"Jun 07, 2019",1050.63,1070.92,1048.4,1066.04,1066.04,1802400.0
79,"Jun 10, 2019",1072.98,1092.66,1072.32,1080.38,1080.38,1464200.0
78,"Jun 11, 2019",1093.98,1101.99,1077.6,1078.72,1078.72,1436700.0
77,"Jun 12, 2019",1078.0,1080.93,1067.54,1077.03,1077.03,1061000.0
76,"Jun 13, 2019",1083.64,1094.17,1080.15,1088.77,1088.77,1057700.0
75,"Jun 14, 2019",1086.42,1092.69,1080.17,1085.35,1085.35,1111500.0
74,"Jun 17, 2019",1086.28,1099.18,1086.28,1092.5,1092.5,941600.0
73,"Jun 18, 2019",1109.69,1116.39,1098.99,1103.6,1103.6,1386700.0
72,"Jun 19, 2019",1105.6,1107.0,1093.48,1102.33,1102.33,1338800.0
71,"Jun 20, 2019",1119.99,1120.12,1104.74,1111.42,1111.42,1262000.0
70,"Jun 21, 2019",1109.24,1124.11,1108.08,1121.88,1121.88,1947600.0
69,"Jun 24, 2019",1119.61,1122.0,1111.01,1115.52,1115.52,1395600.0
68,"Jun 25, 2019",1112.66,1114.35,1083.8,1086.35,1086.35,1546900.0
67,"Jun 26, 2019",1086.5,1092.97,1072.24,1079.8,1079.8,1810900.0
66,"Jun 27, 2019",1084.0,1087.1,1075.29,1076.01,1076.01,1004300.0
65,"Jun 28, 2019",1076.39,1081.0,1073.37,1080.91,1080.91,1693200.0
64,"Jul 01, 2019",1098.0,1107.58,1093.7,1097.95,1097.95,1436300.0
63,"Jul 02, 2019",1102.24,1111.77,1098.17,1111.25,1111.25,991600.0
62,"Jul 03, 2019",1117.41,1126.76,1113.86,1121.58,1121.58,767000.0
61,"Jul 05, 2019",1117.8,1132.88,1116.14,1131.59,1131.59,1264300.0
60,"Jul 08, 2019",1125.17,1125.98,1111.21,1116.35,1116.35,1236400.0
59,"Jul 09, 2019",1111.8,1128.03,1107.17,1124.83,1124.83,1330400.0
58,"Jul 10, 2019",1131.22,1142.05,1130.97,1140.48,1140.48,1209500.0
57,"Jul 11, 2019",1143.25,1153.07,1139.58,1144.21,1144.21,1195500.0
56,"Jul 12, 2019",1143.99,1147.34,1138.78,1144.9,1144.9,864000.0
55,"Jul 15, 2019",1146.86,1150.82,1139.4,1150.34,1150.34,903800.0
54,"Jul 16, 2019",1146.0,1158.58,1145.0,1153.58,1153.58,1238800.0
53,"Jul 17, 2019",1150.97,1158.36,1145.77,1146.35,1146.35,1170000.0
52,"Jul 18, 2019",1141.74,1147.6,1132.73,1146.33,1146.33,1291300.0
51,"Jul 19, 2019",1148.19,1151.14,1129.62,1130.1,1130.1,1647200.0
50,"Jul 22, 2019",1133.45,1139.25,1124.24,1138.07,1138.07,1301500.0
49,"Jul 23, 2019",1144.0,1146.9,1131.8,1146.21,1146.21,1093700.0
48,"Jul 24, 2019",1131.9,1144.0,1126.99,1137.81,1137.81,1589800.0
47,"Jul 25, 2019",1137.82,1141.7,1120.92,1132.12,1132.12,2209800.0
46,"Jul 26, 2019",1224.04,1265.55,1224.0,1250.41,1250.41,4805800.0
45,"Jul 29, 2019",1241.05,1247.37,1228.23,1239.41,1239.41,2223700.0
44,"Jul 30, 2019",1225.41,1234.87,1223.3,1225.14,1225.14,1453300.0
43,"Jul 31, 2019",1223.0,1234.0,1207.76,1216.68,1216.68,1725500.0
42,"Aug 01, 2019",1214.03,1234.11,1205.72,1209.01,1209.01,1698500.0
41,"Aug 02, 2019",1200.74,1206.9,1188.94,1193.99,1193.99,1645100.0
40,"Aug 05, 2019",1170.04,1175.24,1140.14,1152.32,1152.32,2597500.0
39,"Aug 06, 2019",1163.31,1179.96,1160.0,1169.95,1169.95,1709400.0
38,"Aug 07, 2019",1156.0,1178.44,1149.62,1173.99,1173.99,1444300.0
37,"Aug 08, 2019",1182.83,1205.01,1173.02,1204.8,1204.8,1468000.0
36,"Aug 09, 2019",1197.99,1203.88,1183.6,1188.01,1188.01,1065700.0
35,"Aug 12, 2019",1179.21,1184.96,1167.67,1174.71,1174.71,1003000.0
34,"Aug 13, 2019",1171.46,1204.78,1171.46,1197.27,1197.27,1294400.0
33,"Aug 14, 2019",1176.31,1182.3,1160.54,1164.29,1164.29,1578700.0
32,"Aug 15, 2019",1163.5,1175.84,1162.11,1167.26,1167.26,1218700.0
31,"Aug 16, 2019",1179.55,1182.72,1171.81,1177.6,1177.6,1313300.0
30,"Aug 19, 2019",1190.09,1206.99,1190.09,1198.45,1198.45,1231600.0
29,"Aug 20, 2019",1195.25,1196.06,1182.11,1182.69,1182.69,915500.0
28,"Aug 21, 2019",1193.15,1199.0,1187.43,1191.25,1191.25,740700.0
27,"Aug 22, 2019",1194.07,1198.01,1178.58,1189.53,1189.53,947500.0
26,"Aug 23, 2019",1181.99,1194.08,1147.75,1151.29,1151.29,1687000.0
25,"Aug 26, 2019",1157.26,1169.47,1152.96,1168.89,1168.89,1226100.0
24,"Aug 27, 2019",1180.53,1182.4,1161.45,1167.84,1167.84,1077200.0
23,"Aug 28, 2019",1161.71,1176.42,1157.3,1171.02,1171.02,802000.0
22,"Aug 29, 2019",1181.12,1196.06,1181.12,1192.85,1192.85,1088400.0
21,"Aug 30, 2019",1198.5,1198.5,1183.8,1188.1,1188.1,1129800.0
20,"Sep 03, 2019",1177.03,1186.89,1163.2,1168.39,1168.39,1479900.0
19,"Sep 04, 2019",1176.71,1183.48,1171.0,1181.41,1181.41,1068900.0
18,"Sep 05, 2019",1191.53,1213.04,1191.53,1211.38,1211.38,1408100.0
17,"Sep 06, 2019",1208.13,1212.02,1202.52,1204.93,1204.93,1072100.0
16,"Sep 09, 2019",1204.0,1220.0,1192.62,1204.41,1204.41,1471900.0
15,"Sep 10, 2019",1195.15,1210.0,1194.58,1206.0,1206.0,1260100.0
14,"Sep 11, 2019",1203.41,1222.6,1202.2,1220.17,1220.17,1307000.0
13,"Sep 12, 2019",1224.3,1241.86,1223.02,1234.25,1234.25,1725900.0
12,"Sep 13, 2019",1231.35,1240.88,1227.01,1239.56,1239.56,1301400.0
11,"Sep 16, 2019",1229.52,1239.56,1225.61,1231.3,1231.3,1053300.0
10,"Sep 17, 2019",1230.4,1235.0,1223.69,1229.15,1229.15,955100.0
9,"Sep 18, 2019",1227.51,1235.61,1216.53,1232.41,1232.41,1135100.0
8,"Sep 19, 2019",1232.06,1244.44,1232.02,1238.71,1238.71,996000.0
7,"Sep 20, 2019",1233.12,1243.32,1223.08,1229.93,1229.93,2270000.0
6,"Sep 23, 2019",1226.0,1239.09,1224.17,1234.03,1234.03,1062400.0
5,"Sep 24, 2019",1240.0,1246.74,1210.68,1218.76,1218.76,1583200.0
4,"Sep 25, 2019",1215.82,1248.3,1210.09,1246.52,1246.52,1453000.0
3,"Sep 26, 2019",1241.96,1245.0,1232.27,1241.39,1241.39,1538000.0
2,"Sep 27, 2019",1243.01,1244.02,1214.45,1225.09,1225.09,1353900.0
1,"Sep 30, 2019",1220.97,1226.0,1212.3,1219.0,1219.0,1404100.0
0,"Oct 01, 2019",1219.0,1231.23,1203.58,1205.1,1205.1,1273500.0
